Ride ID,Trip ID,PickHouseNumber,PickAddress,PickCity,PickZip,DropHouseNumber,DropAddress,DropCity,DropZip,PickTime,DropTime
1,1,149,SUTHERLAND RD,BRIGHTON,02135,63,EVERETT ST,ALLSTON,02134,15:00:00.000,15:02:00.000
1,2,66,EVERETT ST,ALLSTON,02134,152,SUTHERLAND RD,BRIGHTON,02135,17:38:00.000,17:40:00.000
1,4,7,City Sq,CHARLESTOWN,02129,14,CORINNE RD,BRIGHTON,02135,14:36:00.000,14:48:00.000
1,8,1017,HARRISON AVE,ROXBURY,02119,39,DEWEY ST,WATERTOWN,02472,14:30:00.000,14:46:00.000
1,9,189,FREEMAN ST,BROOKLINE,02446,1184,BEACON ST,BROOKLINE,02446,13:12:00.000,13:13:00.000
1,10,1185,BEACON ST,BROOKLINE,02446,190,FREEMAN ST,BROOKLINE,02446,15:15:00.000,15:16:00.000
1,11,182,NEWBURY ST,DANVERS,01923,102,INDEPENDENCE WAY,DANVERS,01923,15:57:00.000,16:01:00.000
1,15,5316,HIGHLAND GLEN RD,WESTWOOD,02090,28,WILSON WAY,WESTWOOD,02090,11:57:00.000,12:02:00.000
1,18,370,Mass Ave,ARLINGTON,02474,25,Larkin Rd,NEWTON,02465,17:30:00.000,17:49:00.000
